content_type,language,grade,prompt,response
story,hindi,3,"एक बच्चे और पेड़ की दोस्ती पर कहानी","एक गाँव में राहुल नाम का एक छोटा लड़का रहता था। उसके घर के पीछे एक विशाल आम का पेड़ था। राहुल रोज पेड़ के नीचे बैठकर खेलता, पढ़ता और अपने दिल की बातें साझा करता। पेड़ भी उसकी हर बात सुनता, अपनी डालियों से हवा देकर उसे ठंडक पहुँचाता। एक दिन राहुल ने देखा कि पेड़ की पत्तियाँ पीली पड़ रही हैं..."
poem,marathi,4,"बारिश पर कविता","पाऊस येतोय, पाऊस येतोय,\nढग गर्जना करतोय,\nपाण्याच्या थेंबांनी\nधरतीला भिजवतोय...\n\nहिरव्या शेतांना\nनवीन जीव देता,\nतलाव भरून जातो\nहसत हसत गाता!"
explanation,english,2,"How plants grow","Plants need three main things to grow: sunlight, water, and air. The roots take water from the soil. The leaves use sunlight to make food through photosynthesis. The stem carries water and nutrients to all parts of the plant. As the plant gets more food, it grows taller and makes new leaves."
activity,hindi,1,"गिनती सीखने की गतिविणी","गिनती सिखाने के लिए एक मजेदार खेल: 1. कक्षा में 10 वस्तुएँ (गेंद, किताब, पेंसिल आदि) रखें। 2. बच्चों को एक-एक करके वस्तुएँ गिनने को कहें। 3. फिर उन्हें आँख बंद करके एक वस्तु छुपा दें। 4. अब बच्चों को बताना है कि कौन सी वस्तु गायब है। इससे उनकी गिनती और याददाश्त दोनों मजबूत होगी।"
quiz,tamil,5,"பறவைகள் பற்றிய வினாடி வினா","1. எந்த பறவை மிகப்பெரிய கூடு கட்டுகிறது? - கழுகு\n2. பறக்காத பறவை எது? - பென்குயின்\n3. எந்த பறவை பின்புறமாக பறக்க முடியும்? - ஹம்மிங்பேர்ட்\n4. தேசிய பறவை எது? - மயில்\n5. எந்த பறவை இரவில் மட்டும் செயல்படும்? - ஆந்தை"
story,english,1,"A rabbit and turtle race","Tommy Turtle and Rosie Rabbit decided to race. Rosie ran fast but stopped to nap under a tree. Tommy walked slowly but never stopped. Guess who won? Tommy did! 'Slow and steady wins the race,' he smiled."
explanation,hindi,4,"बिजली कैसे बनती है?","बिजली बनाने के मुख्य तरीके: 1. कोयला/गैस जलाकर (ताप विद्युत संयंत्र) 2. पनबिजली (बाँधों में पानी से) 3. पवन चक्कियों से 4. सोलर पैनलों से। सबसे स्वच्छ तरीका सूरज की रोशनी और हवा से बिजली बनाना है!"
activity,marathi,2,"शब्दांची शृंखला खेळ","शब्द जोडण्याचा खेळ: 1. पहिला मुलगा 'फुल' म्हणेल. 2. पुढच्याने 'फुल'च्या अखेरीच्या अक्षरापासून नवीन शब्द (उदा. 'लता'). 3. असे पुढे चालू ठेवा! हा खेळ शब्दसंग्रह वाढवतो."
poem,tamil,3,"நிலா பற்றிய கவிதை","வெண்மதி எழுந்ததே,\nவானில் மிதந்ததே!\nஅதைப் பார்த்துக் குழந்தைகள்,\n'அம்மா, பால் பழம் தரவே!' என்றனரே!"
quiz,english,5,"Human body trivia","1. Largest organ? Skin\n2. Bone count? 206\n3. Strongest muscle? Jaw\n4. Heart beats/day? ~100,000\n5. Longest nerve? Sciatic"
story,marathi,2,"फुगा सोडण्याची गोष्ट","लहान नीना ने रंगीत फुगे विकत घेतले. तिने एक फुगा सोडला तो आकाशात उंच उडत गेला. 'माझा फुगा चंद्रापर्यंत पोहोचेल!' ती हसून म्हणाली. तिच्या आनंदाला पारावार उरला नाही!"
explanation,tamil,4,"மழைச்சுற்று விளக்கம்","மழை உருவாவது: 1. நீர் ஆவியாகி மேகமாகிறது. 2. குளிர்ந்த மேகங்கள் துளிகளாகின்றன. 3. துளிகள் கனமாகி மழையாக விழும். இந்த சுழற்சியை 'நீர் சுழற்சி' என்பர்!"
activity,english,3,"Science scavenger hunt","Find at home: 1) Something magnetic 2) A transparent object 3) An insulator 4) A living thing 5) Something that floats. Discuss why each item fits the category!"
